name,eco,fen,moves
Alekhine Defense,B02,rnbqkb1r/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq,  e4 Nf6
"Alekhine Defense, 2. e5 Nd5 3. d4",B03,rnbqkb1r/pppppppp/8/3nP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq,  e4 Nf6   e5 Nd5   d4
"Alekhine Defense, 2. e5 Nd5 3. d4 d6",B03,rnbqkb1r/ppp1pppp/3p4/3nP3/3P4/8/PPP2PPP/RNBQKBNR w KQkq,  e4 Nf6   e5 Nd5   d4 d6
"Alekhine Defense, 3. d4 d6 4. c4",B03,rnbqkb1r/ppp1pppp/3p4/3nP3/2PP4/8/PP3PPP/RNBQKBNR b KQkq,  e4 Nf6   e5 Nd5   d4 d6   c4
Alekhine Defense: Balogh Variation,B03,rnbqkb1r/ppp1pppp/3p4/3nP3/2BP4/8/PPP2PPP/RNBQK1NR b KQkq,  e4 Nf6   e5 Nd5   d4 d6   Bc4
Alekhine Defense: Brooklyn Variation,B02,rnbqkbnr/pppppppp/8/4P3/8/8/PPPP1PPP/RNBQKBNR w KQkq,  e4 Nf6   e5 Ng8
"Alekhine Defense: Brooklyn Variation, Everglades Variation",B02,rnbqkbnr/ppppp1pp/8/4Pp2/3P4/8/PPP2PPP/RNBQKBNR w KQkq,  e4 Nf6   e5 Ng8   d4 f5
Alekhine Defense: Buckley Attack,B03,rnbqkb1r/pppppppp/8/3nP3/8/N7/PPPP1PPP/R1BQKBNR b KQkq,  e4 Nf6   e5 Nd5   Na3
Alekhine Defense: Exchange Variation,B03,rnbqkb1r/ppp1pppp/1n1P4/8/2PP4/8/PP3PPP/RNBQKBNR b KQkq,  e4 Nf6   e5 Nd5   d4 d6   c4 Nb6   exd6
"Alekhine Defense: Exchange Variation, Karpov Variation",B03,r2q1rk1/pp2ppbp/1nnp2p1/5b2/2PP1B2/2N2N1P/PP2BPP1/R2Q1RK1 b -,  e4 Nf6   e5 Nd5   d4 d6   c4 Nb6   exd6 cxd6   Nc3 g6   h3 Bg7   Nf3 O-O   Be2 Nc6   O-O Bf5   Bf4
Alekhine Defense: Four Pawns Attack,B03,rnbqkb1r/ppp1pppp/1n1p4/4P3/2PP1P2/8/PP4PP/RNBQKBNR b KQkq,  e4 Nf6   e5 Nd5   d4 d6   c4 Nb6   f4
"Alekhine Defense: Four Pawns Attack, 6... Nc6",B03,r1bqkb1r/ppp1pppp/1nn5/4P3/2PP4/8/PP4PP/RNBQKBNR w KQkq,  e4 Nf6   e5 Nd5   d4 d6   c4 Nb6   f4 dxe5   fxe5 Nc6
"Alekhine Defense: Four Pawns Attack, Cambridge Gambit",B03,rnbqkb1r/ppp1pp1p/1n1p4/4P1p1/2PP1P2/8/PP4PP/RNBQKBNR w KQkq,  e4 Nf6   e5 Nd5   d4 d6   c4 Nb6   f4 g5
"Alekhine Defense: Four Pawns Attack, Fianchetto Variation",B03,rnbqkb1r/ppp1pp1p/1n1p2p1/4P3/2PP1P2/8/PP4PP/RNBQKBNR w KQkq,  e4 Nf6   e5 Nd5   d4 d6   c4 Nb6   f4 g6
"Alekhine Defense: Four Pawns Attack, Ilyin-Zhenevsky Variation",B03,r2qkb1r/ppp1p1pp/1nn1p3/2P5/3P2b1/5N2/PP4PP/RNBQKB1R b KQkq,  e4 Nf6   e5 Nd5   d4 d6   c4 Nb6   f4 dxe5   fxe5 Nc6   Nf3 Bg4   e6 fxe6   c5
"Alekhine Defense: Four Pawns Attack, Korchnoi Variation",B03,rn1q1rk1/ppp1b1pp/1n2pp2/4Pb2/2PP4/2N2N2/PP2B1PP/R1BQ1RK1 w -,  e4 Nf6   e5 Nd5   d4 d6   c4 Nb6   f4 dxe5   fxe5 Bf5   Nc3 e6   Nf3 Be7   Be2 O-O   O-O f6
"Alekhine Defense: Four Pawns Attack, Main Line",B03,r1bqkb1r/ppp1pppp/1nn5/4P3/2PP4/4B3/PP4PP/RN1QKBNR b KQkq,  e4 Nf6   e5 Nd5   d4 d6   c4 Nb6   f4 dxe5   fxe5 Nc6   Be3
"Alekhine Defense: Four Pawns Attack, Tartakower Variation",B03,2kr3r/pppqbppp/1nn1p3/4Pb2/2PP4/2N1BN2/PP2B1PP/R2Q1RK1 w -,  e4 Nf6   e5 Nd5   d4 d6   c4 Nb6   f4 dxe5   fxe5 Nc6   Be3 Bf5   Nc3 e6   Nf3 Qd7   Be2 O-O-O   O-O Be7
"Alekhine Defense: Four Pawns Attack, Trifunovic Variation",B03,rn1qkb1r/ppp1pppp/1n1p4/4Pb2/2PP1P2/8/PP4PP/RNBQKBNR w KQkq,  e4 Nf6   e5 Nd5   d4 d6   c4 Nb6   f4 Bf5
Alekhine Defense: Hunt Variation,B03,rnbqkb1r/ppp1pppp/1n1p4/2P1P3/3P4/8/PP3PPP/RNBQKBNR b KQkq,  e4 Nf6   e5 Nd5   d4 d6   c4 Nb6   c5
"Alekhine Defense: Hunt Variation, Lasker Simul Gambit",B02,rnbqkb1r/pppp1ppp/4p3/2PnP3/2B5/2N5/PP1P1PPP/R1BQK1NR b KQkq,  e4 Nf6   e5 Nd5   c4 Nb6   c5 Nd5   Bc4 e6   Nc3
"Alekhine Defense: Hunt Variation, Matsukevich Gambit",B02,rnbqkb1r/ppp1pppp/3p4/2P1P1B1/8/2P5/PP3PPP/R2QKBNR b KQkq,  e4 Nf6   e5 Nd5   c4 Nb6   c5 Nd5   Nc3 Nxc3   dxc3 d6   Bg5
"Alekhine Defense: Hunt Variation, Mikenas Gambit",B02,rnbqkb1r/ppp2ppp/3p4/2PBP3/8/8/PP1P1PPP/R1BQK1NR b KQkq,  e4 Nf6   e5 Nd5   c4 Nb6   c5 Nd5   Bc4 e6   Nc3 d6   Nxd5 exd5   Bxd5
Alekhine Defense: Kmoch Variation,B02,rnbqkb1r/pp1ppppp/1n6/2p1P3/8/1B1P4/PPP2PPP/RNBQK1NR b KQkq,  e4 Nf6   e5 Nd5   Bc4 Nb6   Bb3 c5   d3
Alekhine Defense: Krejcik Variation,B02,rnbqkb1r/pppppppp/5n2/8/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq,  e4 Nf6   Bc4
"Alekhine Defense: Krejcik Variation, Krejcik Gambit",B02,rnbqkb1r/pppppBpp/8/8/4n3/8/PPPP1PPP/RNBQK1NR b KQkq,  e4 Nf6   Bc4 Nxe4   Bxf7+
Alekhine Defense: Maroczy Variation,B02,rnbqkb1r/pppppppp/5n2/8/4P3/3P4/PPP2PPP/RNBQKBNR b KQkq,  e4 Nf6   d3
Alekhine Defense: Modern Variation,B04,rnbqkb1r/ppp1pppp/3p4/3nP3/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq,  e4 Nf6   e5 Nd5   d4 d6   Nf3
"Alekhine Defense: Modern Variation, Alburt Variation",B04,rnbqkb1r/ppp1pp1p/3p2p1/3nP3/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq,  e4 Nf6   e5 Nd5   d4 d6   Nf3 g6
"Alekhine Defense: Modern Variation, Alekhine Gambit",B04,rn1qkb1r/ppp1pppp/1n1p4/4P3/2PP2b1/5N2/PP2BPPP/RNBQK2R b KQkq,  e4 Nf6   e5 Nd5   d4 d6   c4 Nb6   Nf3 Bg4   Be2
"Alekhine Defense: Modern Variation, Alekhine Variation",B05,rn1qkb1r/ppp1pppp/3p4/3nP3/2PP2b1/5N2/PP3PPP/RNBQKB1R b KQkq,  e4 Nf6   e5 Nd5   d4 d6   Nf3 Bg4   c4
"Alekhine Defense: Modern Variation, Keres Variation",B04,rnbqk2r/ppp1ppbp/1n1p2p1/4P3/P2P4/1B3N2/1PP2PPP/RNBQK2R b KQkq,  e4 Nf6   e5 Nd5   d4 d6   Nf3 g6   Bc4 Nb6   Bb3 Bg7   a4
"Alekhine Defense: Modern Variation, Larsen Variation",B04,rnbqkb1r/ppp1pppp/8/3np3/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq,  e4 Nf6   e5 Nd5   d4 d6   Nf3 dxe5
"Alekhine Defense: Modern Variation, Larsen-Haakert Variation",B04,r1bqkb1r/ppp1pppp/2np4/3nP3/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq,  e4 Nf6   e5 Nd5   d4 d6   Nf3 Nc6
"Alekhine Defense: Modern Variation, Main Line",B05,rn1qkb1r/ppp1pppp/3p4/3nP3/3P2b1/5N2/PPP2PPP/RNBQKB1R w KQkq,  e4 Nf6   e5 Nd5   d4 d6   Nf3 Bg4
"Alekhine Defense: Modern Variation, Panov Variation",B05,rn1qkb1r/ppp1pppp/3p4/3nP3/3P2b1/5N1P/PPP2PP1/RNBQKB1R b KQkq,  e4 Nf6   e5 Nd5   d4 d6   Nf3 Bg4   h3
"Alekhine Defense: Modern Variation, Schmid Variation",B04,rnbqkb1r/ppp1pppp/1n1p4/4P3/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq,  e4 Nf6   e5 Nd5   d4 d6   Nf3 Nb6
"Alekhine Defense: Modern, Flohr Variation",B05,rn1qkb1r/pp2pppp/2pp4/3nP3/3P2b1/5N2/PPP1BPPP/RNBQK2R w KQkq,  e4 Nf6   e5 Nd5   d4 d6   Nf3 Bg4   Be2 c6
"Alekhine Defense: Modern, Vitolins Attack",B05,rn1qkb1r/ppp1pppp/1n1p4/3PP3/2P3b1/5N2/PP3PPP/RNBQKB1R b KQkq,  e4 Nf6   e5 Nd5   d4 d6   Nf3 Bg4   c4 Nb6   d5
Alekhine Defense: Mokele Mbembe,B02,rnbqkb1r/pppppppp/8/4P3/4n3/8/PPPP1PPP/RNBQKBNR w KQkq,  e4 Nf6   e5 Ne4
"Alekhine Defense: Mokele Mbembe, Modern Line",B02,rnbqkb1r/ppppp1pp/5p2/4P3/3Pn3/8/PPP2PPP/RNBQKBNR w KQkq,  e4 Nf6   e5 Ne4   d4 f6
"Alekhine Defense: Mokele Mbembe, Vavra Defense",B02,rnbqkb1r/pppp1ppp/4p3/4P3/3Pn3/8/PPP2PPP/RNBQKBNR w KQkq,  e4 Nf6   e5 Ne4   d4 e6
Alekhine Defense: Normal Variation,B02,rnbqkb1r/pppppppp/8/3nP3/8/8/PPPP1PPP/RNBQKBNR w KQkq,  e4 Nf6   e5 Nd5
Alekhine Defense: O'Sullivan Gambit,B03,rnbqkb1r/p1pppppp/8/1p1nP3/3P4/8/PPP2PPP/RNBQKBNR w KQkq,  e4 Nf6   e5 Nd5   d4 b5
Alekhine Defense: Saemisch Attack,B02,rnbqkb1r/pppppppp/8/3nP3/8/2N5/PPPP1PPP/R1BQKBNR b KQkq,  e4 Nf6   e5 Nd5   Nc3
Alekhine Defense: Scandinavian Variation,B02,rnbqkb1r/ppp1pppp/5n2/3p4/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq,  e4 Nf6   Nc3 d5
"Alekhine Defense: Scandinavian Variation, Geschev Gambit",B02,rnbqkb1r/pp2pppp/2p2n2/3P4/8/2N5/PPPP1PPP/R1BQKBNR w KQkq,  e4 Nf6   Nc3 d5   exd5 c6
"Alekhine Defense: Scandinavian Variation, Myers Gambit",B02,rnbqkb1r/ppp1pppp/5n2/6B1/4p3/2NP4/PPP2PPP/R2QKBNR b KQkq,  e4 Nf6   Nc3 d5   d3 dxe4   Bg5
Alekhine Defense: Spielmann Gambit,B02,rnbqkb1r/pppnpppp/4P3/3p4/8/2N5/PPPP1PPP/R1BQKBNR b KQkq,  e4 Nf6   Nc3 d5   e5 Nfd7   e6
Alekhine Defense: Steiner Variation,B02,rnbqkb1r/pppppppp/1n6/4P3/2P5/1P6/P2P1PPP/RNBQKBNR b KQkq,  e4 Nf6   e5 Nd5   c4 Nb6   b3
Alekhine Defense: The Squirrel,B02,rnbqkb1r/pppppppp/8/4P3/2P2n2/8/PP1P1PPP/RNBQKBNR w KQkq,  e4 Nf6   e5 Nd5   c4 Nf4
Alekhine Defense: Two Pawn Attack,B02,rnbqkb1r/pppppppp/8/3nP3/2P5/8/PP1P1PPP/RNBQKBNR b KQkq,  e4 Nf6   e5 Nd5   c4
"Alekhine Defense: Two Pawn Attack, Lasker Variation",B02,rnbqkb1r/pppppppp/1n6/2P1P3/8/8/PP1P1PPP/RNBQKBNR b KQkq,  e4 Nf6   e5 Nd5   c4 Nb6   c5
"Alekhine Defense: Two Pawns Attack, Mikenas Variation",B02,rnbqkb1r/ppp2ppp/3pp3/2PnP3/2B5/2N5/PP1P1PPP/R1BQK1NR w KQkq,  e4 Nf6   e5 Nd5   c4 Nb6   c5 Nd5   Bc4 e6   Nc3 d6
Alekhine Defense: Welling Variation,B02,rnbqkb1r/pppppppp/8/3nP3/8/1P6/P1PP1PPP/RNBQKBNR b KQkq,  e4 Nf6   e5 Nd5   b3
Amar Gambit,A00,rn1qkbnr/ppp2ppp/8/3p4/5p2/6PB/PPPPP2P/RNBQK2R w KQkq,  Nh3 d5   g3 e5   f4 Bxh3   Bxh3 exf4
Amar Opening,E00,rnbqkbnr/pppppppp/8/8/8/7N/PPPPPPPP/RNBQKB1R b KQkq,  Nh3
Amar Opening: Gent Gambit,A00,rn1qkbnr/ppp2ppp/8/3p4/8/6PB/PPPPP3/RNBQ1RK1 b kq,  Nh3 d5   g3 e5   f4 Bxh3   Bxh3 exf4   O-O fxg3   hxg3
Amar Opening: Paris Gambit,A00,rnbqkbnr/ppp2ppp/8/3pp3/5P2/6PN/PPPPP2P/RNBQKB1R b KQkq,  Nh3 d5   g3 e5   f4
Amazon Attack,D00,rnbqkbnr/ppp1pppp/8/3p4/3P4/3Q4/PPP1PPPP/RNB1KBNR b KQkq,  d4 d5   Qd3
Amazon Attack: Siberian Attack,D00,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/2NQ4/PPP1PPPP/R1B1KBNR b KQkq,  d4 Nf6   Nc3 d5   Qd3
Amsterdam Attack,A00,r1bqkb1r/ppp2ppp/2np1n2/4p3/2P5/1PN1P3/P2P1PPP/R1BQKBNR w KQkq,  e3 e5   c4 d6   Nc3 Nc6   b3 Nf6
Anderssen Opening,A00,rnbqkbnr/pppppppp/8/8/8/P7/1PPPPPPP/RNBQKBNR b KQkq,  a3
Anderssen Opening: Polish Gambit,A00,rnbqkbnr/1ppppppp/8/p7/1P6/P7/2PPPPPP/RNBQKBNR b KQkq,  a3 a5   b4
Australian Defense,A40,r1bqkbnr/pppppppp/n7/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq,  d4 Na6
Barnes Defense,B00,rnbqkbnr/ppppp1pp/5p2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq,  e4 f6
Barnes Opening: Fool's Mate,A00,rnb1kbnr/pppp1ppp/8/4p3/6Pq/5P2/PPPPP2P/RNBQKBNR w KQkq,  f3 e5   g4 Qh4#
Barnes Opening: Gedult Gambit,A00,rnbqkbnr/ppppp1pp/8/8/4p3/2N2P2/PPPP2PP/R1BQKBNR b KQkq,  f3 f5   e4 fxe4   Nc3
"Barnes Opening: Gedult Gambit, 3. d4 dxe4 4. c3",A00,rnbqkbnr/ppp1pp1p/6p1/8/3Pp3/2P2P2/PP4PP/RNBQKBNR b KQkq,  f3 d5   e4 g6   d4 dxe4   c3
Barnes Opening: Hammerschlag,A00,rnbqkbnr/pppp1ppp/8/4p3/8/5P2/PPPPPKPP/RNBQ1BNR b kq,  f3 e5   Kf2
Barnes Opening: Walkerling,A00,rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/5P2/PPPP2PP/RNBQK1NR b KQkq,  f3 e5   e4 Nf6   Bc4
Benko Gambit,A57,rnbqkb1r/p2ppppp/5n2/1ppP4/2P5/8/PP2PPPP/RNBQKBNR w KQkq,  d4 Nf6   c4 c5   d5 b5
"Benko Gambit, 8. Kxf1 d6 9. g3",A59,rn1qkb1r/4pp1p/3p1np1/2pP4/4P3/2N3P1/PP3P1P/R1BQ1KNR b kq,  d4 Nf6   c4 c5   d5 b5   cxb5 a6   bxa6 g6   Nc3 Bxa6   e4 Bxf1   Kxf1 d6   g3
Benko Gambit Accepted,A57,rnbqkb1r/3ppppp/p4n2/1PpP4/8/8/PP2PPPP/RNBQKBNR w KQkq,  d4 Nf6   c4 c5   d5 b5   cxb5 a6
"Benko Gambit Accepted, Central Storming Variation",A57,rn1qkb1r/3ppp1p/b4np1/2pP4/5P2/2N5/PP2P1PP/R1BQKBNR b KQkq,  d4 Nf6   c4 c5   d5 b5   cxb5 a6   bxa6 g6   Nc3 Bxa6   f4
"Benko Gambit Accepted, Dlugy Variation",A57,rnbqkb1r/3ppppp/p4n2/1PpP4/8/5P2/PP2P1PP/RNBQKBNR b KQkq,  d4 Nf6   c4 c5   d5 b5   cxb5 a6   f3
"Benko Gambit Accepted, Fianchetto Variation",A58,rn1qk2r/4ppbp/b2p1np1/2pP4/8/2N2NP1/PP2PPBP/R1BQK2R b KQkq,  d4 Nf6   c4 c5   d5 b5   cxb5 a6   bxa6 g6   Nc3 Bxa6   g3 d6   Bg2 Bg7   Nf3
"Benko Gambit Accepted, Fully Accepted Variation",A58,rnbqkb1r/3ppppp/P4n2/2pP4/8/8/PP2PPPP/RNBQKBNR b KQkq,  d4 Nf6   c4 c5   d5 b5   cxb5 a6   bxa6
"Benko Gambit Accepted, King Walk Variation",A59,rn1q1rk1/4ppbp/3p1np1/2pP4/4P3/2N2NP1/PP3PKP/R1BQ3R b -,  d4 Nf6   c4 c5   d5 b5   cxb5 a6   bxa6 g6   Nc3 Bxa6   Nf3 d6   e4 Bxf1   Kxf1 Bg7   g3 O-O   Kg2
"Benko Gambit Accepted, Modern Variation",A57,rnbqkb1r/3ppppp/p4n2/1PpP4/8/4P3/PP3PPP/RNBQKBNR b KQkq,  d4 Nf6   c4 c5   d5 b5   cxb5 a6   e3
"Benko Gambit Accepted, Pawn Return Variation",A57,rnbqkb1r/3ppppp/pP3n2/2pP4/8/8/PP2PPPP/RNBQKBNR b KQkq,  d4 Nf6   c4 c5   d5 b5   cxb5 a6   b6
"Benko Gambit Accepted, Yugoslav, with Bxf1 and Nge2",A59,rn1qkb1r/4pp1p/3p1np1/2pP4/4P3/2N5/PP2NPPP/R1BQ1K1R b kq,  d4 Nf6   c4 c5   d5 b5   cxb5 a6   bxa6 g6   Nc3 Bxa6   e4 Bxf1   Kxf1 d6   Nge2
"Benko Gambit Accepted, Yugoslav, without 7... Bxf1",A59,rn1qkb1r/4pppp/b2p1n2/2pP4/4P3/2N5/PP3PPP/R1BQKBNR b KQkq,  d4 Nf6   c4 c5   d5 b5   cxb5 a6   bxa6 Bxa6   Nc3 d6   e4
"Benko Gambit Declined, Bishop Attack",A57,rnbqkb1r/p2ppppp/5n2/1ppP2B1/2P5/8/PP2PPPP/RN1QKBNR b KQkq,  d4 Nf6   c4 c5   d5 b5   Bg5
"Benko Gambit Declined, Hjoerring Countergambit",A57,rnbqkb1r/p2ppppp/5n2/1ppP4/2P1P3/8/PP3PPP/RNBQKBNR b KQkq,  d4 Nf6   c4 c5   d5 b5   e4
"Benko Gambit Declined, Main Line",A57,rnbqkb1r/p2ppppp/5n2/1ppP4/2P5/5N2/PP2PPPP/RNBQKB1R b KQkq,  d4 Nf6   c4 c5   d5 b5   Nf3
"Benko Gambit Declined, Pseudo-Saemisch",A57,rnbqkb1r/p2ppppp/5n2/1ppP4/2P5/5P2/PP2P1PP/RNBQKBNR b KQkq,  d4 Nf6   c4 c5   d5 b5   f3
"Benko Gambit Declined, Quiet Line",A57,rnbqkb1r/p2ppppp/5n2/1ppP4/2P5/8/PP1NPPPP/R1BQKBNR b KQkq,  d4 Nf6   c4 c5   d5 b5   Nd2
"Benko Gambit Declined, Sosonko Variation",A57,rnbqkb1r/p2ppppp/5n2/1ppP4/P1P5/8/1P2PPPP/RNBQKBNR b KQkq,  d4 Nf6   c4 c5   d5 b5   a4
Benko Gambit: Fianchetto Variation,A58,rn1qkb1r/4pp1p/b2p1np1/2pP4/8/2N2NP1/PP2PP1P/R1BQKB1R b KQkq,  d4 Nf6   c4 c5   d5 b5   cxb5 a6   bxa6 Bxa6   Nc3 d6   Nf3 g6   g3
Benko Gambit: Mutkin Countergambit,A57,rnbqkb1r/p2ppppp/5n2/1ppP4/2P3P1/8/PP2PP1P/RNBQKBNR b KQkq,  d4 Nf6   c4 c5   d5 b5   g4
Benko Gambit: Nd2 Variation,A58,rn1qkb1r/4pp1p/b2p1np1/2pP4/8/2N5/PP1NPPPP/R1BQKB1R b KQkq,  d4 Nf6   c4 c5   d5 b5   cxb5 a6   bxa6 Bxa6   Nc3 d6   Nf3 g6   Nd2
Benko Gambit: Nescafe Frappe Attack,A57,rnbqkb1r/4pppp/3p1n2/1NpP4/1pB1P3/8/PP3PPP/R1BQK1NR b KQkq,  d4 Nf6   c4 c5   d5 b5   cxb5 a6   Nc3 axb5   e4 b4   Nb5 d6   Bc4
Benko Gambit: Zaitsev System,A58,rnbqkb1r/3ppppp/p4n2/1PpP4/8/2N5/PP2PPPP/R1BQKBNR b KQkq,  d4 Nf6   c4 c5   d5 b5   cxb5 a6   Nc3
"Benko Gambit: Zaitsev Variation, Nescafe Frappe Attack",A57,rnbqkb1r/3ppppp/5n2/1NpP4/1p2P3/8/PP3PPP/R1BQKBNR b KQkq,  d4 Nf6   c4 c5   d5 b5   cxb5 a6   Nc3 axb5   e4 b4   Nb5
Benoni Defense,A56,rnbqkb1r/pp1ppppp/5n2/2p5/2PP4/8/PP2PPPP/RNBQKBNR w KQkq,  d4 Nf6   c4 c5
"Benoni Defense, 5. cxd5 d6 6. Nc3 g6",A61,rnbqkb1r/pp3p1p/3p1np1/2pP4/8/2N2N2/PP2PPPP/R1BQKB1R w KQkq,  d4 Nf6   c4 e6   Nf3 c5   d5 exd5   cxd5 d6   Nc3 g6
Benoni Defense: Benoni Gambit Accepted,A43,rnbqkbnr/pp1ppppp/8/2P5/8/8/PPP1PPPP/RNBQKBNR b KQkq,  d4 c5   dxc5
"Benoni Defense: Benoni Gambit, Schlenker Defense",A43,r1bqkbnr/pp1ppppp/n7/2P5/8/8/PPP1PPPP/RNBQKBNR w KQkq,  d4 c5   dxc5 Na6
Benoni Defense: Benoni-Indian Defense,A43,rnbqkb1r/pp1ppppp/5n2/2pP4/8/8/PPP1PPPP/RNBQKBNR w KQkq,  d4 c5   d5 Nf6
"Benoni Defense: Benoni-Indian Defense, Kingside Move Order",A43,rnbqkb1r/pp1ppppp/5n2/2pP4/8/5N2/PPP1PPPP/RNBQKB1R b KQkq,  d4 Nf6   Nf3 c5   d5
