name,eco,fen,moves
Alekhine Defense,B02,rnbqkb1r/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq,  e4 Nf6
Alekhine Defense: Balogh Variation,B03,rnbqkb1r/ppp1pppp/3p4/3nP3/2BP4/8/PPP2PPP/RNBQK1NR b KQkq,  e4 Nf6   e5 Nd5   d4 d6   Bc4
Alekhine Defense: Brooklyn Variation,B02,rnbqkbnr/pppppppp/8/4P3/8/8/PPPP1PPP/RNBQKBNR w KQkq,  e4 Nf6   e5 Ng8
"Alekhine Defense: Brooklyn Variation, Everglades Variation",B02,rnbqkbnr/ppppp1pp/8/4Pp2/3P4/8/PPP2PPP/RNBQKBNR w KQkq,  e4 Nf6   e5 Ng8   d4 f5
Alekhine Defense: Buckley Attack,B03,rnbqkb1r/pppppppp/8/3nP3/8/N7/PPPP1PPP/R1BQKBNR b KQkq,  e4 Nf6   e5 Nd5   Na3
Alekhine Defense: Krejcik Variation,B02,rnbqkb1r/pppppppp/5n2/8/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq,  e4 Nf6   Bc4
"Alekhine Defense: Krejcik Variation, Krejcik Gambit",B02,rnbqkb1r/pppppBpp/8/8/4n3/8/PPPP1PPP/RNBQK1NR b KQkq,  e4 Nf6   Bc4 Nxe4   Bxf7+
Alekhine Defense: Maroczy Variation,B02,rnbqkb1r/pppppppp/5n2/8/4P3/3P4/PPP2PPP/RNBQKBNR b KQkq,  e4 Nf6   d3
Alekhine Defense: Modern Variation,B04,rnbqkb1r/ppp1pppp/3p4/3nP3/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq,  e4 Nf6   e5 Nd5   d4 d6   Nf3
"Alekhine Defense: Modern Variation, Alburt Variation",B04,rnbqkb1r/ppp1pp1p/3p2p1/3nP3/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq,  e4 Nf6   e5 Nd5   d4 d6   Nf3 g6
"Alekhine Defense: Modern Variation, Larsen-Haakert Variation",B04,r1bqkb1r/ppp1pppp/2np4/3nP3/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq,  e4 Nf6   e5 Nd5   d4 d6   Nf3 Nc6
"Alekhine Defense: Modern Variation, Main Line",B05,rn1qkb1r/ppp1pppp/3p4/3nP3/3P2b1/5N2/PPP2PPP/RNBQKB1R w KQkq,  e4 Nf6   e5 Nd5   d4 d6   Nf3 Bg4
"Alekhine Defense: Modern Variation, Schmid Variation",B04,rnbqkb1r/ppp1pppp/1n1p4/4P3/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq,  e4 Nf6   e5 Nd5   d4 d6   Nf3 Nb6
Alekhine Defense: Mokele Mbembe,B02,rnbqkb1r/pppppppp/8/4P3/4n3/8/PPPP1PPP/RNBQKBNR w KQkq,  e4 Nf6   e5 Ne4
"Alekhine Defense: Mokele Mbembe, Modern Line",B02,rnbqkb1r/ppppp1pp/5p2/4P3/3Pn3/8/PPP2PPP/RNBQKBNR w KQkq,  e4 Nf6   e5 Ne4   d4 f6
"Alekhine Defense: Mokele Mbembe, Vavra Defense",B02,rnbqkb1r/pppp1ppp/4p3/4P3/3Pn3/8/PPP2PPP/RNBQKBNR w KQkq,  e4 Nf6   e5 Ne4   d4 e6
Alekhine Defense: Normal Variation,B02,rnbqkb1r/pppppppp/8/3nP3/8/8/PPPP1PPP/RNBQKBNR w KQkq,  e4 Nf6   e5 Nd5
Alekhine Defense: O'Sullivan Gambit,B03,rnbqkb1r/p1pppppp/8/1p1nP3/3P4/8/PPP2PPP/RNBQKBNR w KQkq,  e4 Nf6   e5 Nd5   d4 b5
Alekhine Defense: Saemisch Attack,B02,rnbqkb1r/pppppppp/8/3nP3/8/2N5/PPPP1PPP/R1BQKBNR b KQkq,  e4 Nf6   e5 Nd5   Nc3
Alekhine Defense: Scandinavian Variation,B02,rnbqkb1r/ppp1pppp/5n2/3p4/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq,  e4 Nf6   Nc3 d5
"Alekhine Defense: Scandinavian Variation, Geschev Gambit",B02,rnbqkb1r/pp2pppp/2p2n2/3P4/8/2N5/PPPP1PPP/R1BQKBNR w KQkq,  e4 Nf6   Nc3 d5   exd5 c6
"Alekhine Defense: Scandinavian Variation, Myers Gambit",B02,rnbqkb1r/ppp1pppp/5n2/6B1/4p3/2NP4/PPP2PPP/R2QKBNR b KQkq,  e4 Nf6   Nc3 d5   d3 dxe4   Bg5
Alekhine Defense: Spielmann Gambit,B02,rnbqkb1r/pppnpppp/4P3/3p4/8/2N5/PPPP1PPP/R1BQKBNR b KQkq,  e4 Nf6   Nc3 d5   e5 Nfd7   e6
Alekhine Defense: Steiner Variation,B02,rnbqkb1r/pppppppp/1n6/4P3/2P5/1P6/P2P1PPP/RNBQKBNR b KQkq,  e4 Nf6   e5 Nd5   c4 Nb6   b3
