name,eco,fen,moves
Alekhine Defense,B02,rnbqkb1r/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq,  e4 Nf6
Alekhine Defense: Brooklyn Variation,B02,rnbqkbnr/pppppppp/8/4P3/8/8/PPPP1PPP/RNBQKBNR w KQkq,  e4 Nf6   e5 Ng8
"Alekhine Defense: Brooklyn Variation, Everglades Variation",B02,rnbqkbnr/ppppp1pp/8/4Pp2/3P4/8/PPP2PPP/RNBQKBNR w KQkq,  e4 Nf6   e5 Ng8   d4 f5
Alekhine Defense: Buckley Attack,B03,rnbqkb1r/pppppppp/8/3nP3/8/N7/PPPP1PPP/R1BQKBNR b KQkq,  e4 Nf6   e5 Nd5   Na3
Alekhine Defense: Krejcik Variation,B02,rnbqkb1r/pppppppp/5n2/8/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq,  e4 Nf6   Bc4
Alekhine Defense: Maroczy Variation,B02,rnbqkb1r/pppppppp/5n2/8/4P3/3P4/PPP2PPP/RNBQKBNR b KQkq,  e4 Nf6   d3
Alekhine Defense: Mokele Mbembe,B02,rnbqkb1r/pppppppp/8/4P3/4n3/8/PPPP1PPP/RNBQKBNR w KQkq,  e4 Nf6   e5 Ne4
"Alekhine Defense: Mokele Mbembe, Modern Line",B02,rnbqkb1r/ppppp1pp/5p2/4P3/3Pn3/8/PPP2PPP/RNBQKBNR w KQkq,  e4 Nf6   e5 Ne4   d4 f6
"Alekhine Defense: Mokele Mbembe, Vavra Defense",B02,rnbqkb1r/pppp1ppp/4p3/4P3/3Pn3/8/PPP2PPP/RNBQKBNR w KQkq,  e4 Nf6   e5 Ne4   d4 e6
Alekhine Defense: Normal Variation,B02,rnbqkb1r/pppppppp/8/3nP3/8/8/PPPP1PPP/RNBQKBNR w KQkq,  e4 Nf6   e5 Nd5
Alekhine Defense: O'Sullivan Gambit,B03,rnbqkb1r/p1pppppp/8/1p1nP3/3P4/8/PPP2PPP/RNBQKBNR w KQkq,  e4 Nf6   e5 Nd5   d4 b5
Alekhine Defense: Saemisch Attack,B02,rnbqkb1r/pppppppp/8/3nP3/8/2N5/PPPP1PPP/R1BQKBNR b KQkq,  e4 Nf6   e5 Nd5   Nc3
Alekhine Defense: Scandinavian Variation,B02,rnbqkb1r/ppp1pppp/5n2/3p4/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq,  e4 Nf6   Nc3 d5
